text,negative,positive,neutral
"Чиновники займутся теми, кто не работает официально больше 10 лет.

 ",0.09269777685403824,0.0,0.9099169969558716
"В Минске неизвестные в масках ворвались на мероприятие студенческого профсоюза. 

Задержаны более 10-ти человек.  ",0.11921291798353195,0.0,0.9124462008476257
"Послушайте, как люди в магазине в Боровлянах поют «Погоню». ",0.0,0.0,0.8479777574539185
"Что сейчас известно о покупке ИТ-компании Exadel с офисом в Минске?

Рассказываем.  ",0.10375863313674927,0.0,0.9802908897399902
Ведущая ОНТ оговорилась в эфире и назвала Светлану Тихановскую бывшим президентом. ,0.0,0.1778208613395691,0.30736804008483887
"Алла Пугачева обошла Анджелину Джоли в рейтинге настоящих женщин (по мнению россиян).

 ",0.0,0.0,0.7057950496673584
"Как пойдет транспорт в Минске в понедельник, 8 марта?

Рассказываем.  ",0.020974241197109222,0.0,0.9914325475692749
"МВД сообщило о задержании брестских анархисты «из международной преступной организации».

 ",0.0980893224477768,0.0,0.9566442370414734
"Что сейчас происходит вокруг «Беларуськалия» и Yara?

Стачка — за разрыв договора, профсоюзы — против.

 ",0.0,0.0,0.8840492963790894
"В ЖК ""Каскад"" неизвестные люди в балаклавах снимают бело-красные ленты. ",0.41490885615348816,0.0,0.6859594583511353
"Эмоциональный разговор учителя и школьника по поводу БРСМ попал на аудио

«Ты против нашего государства?»

 ",0.2814156115055084,0.0,0.7122421860694885
"Стала ли «ласточка» доступнее? Сравнили цены на машины сейчас и 20 лет назад.

 ",0.16027602553367615,0.0,0.8558611869812012
"Неожиданные продукты, которые повышают холестерин.

Почитайте, чтобы знать!

 ",0.22271016240119934,0.0,0.7490972280502319
"Коронавирус после прививки: как сильно люди болеют и почему это происходит?

Некоторые привитые сообщают о том, что заболели даже после двух уколов вакцины. 

 ",0.6584275364875793,0.0,0.4688006341457367
"На рабочем месте задержали врача Руслана Бадамшина. 

Где он сейчас находится и по какой причине его забрали — неизвестно. 

 ",0.3140605390071869,0.0,0.7879412174224854
"Россия и Беларусь договорились о создании трех учебно-боевых центров совместной подготовки военнослужащих.

 ",0.0,0.08036746829748154,0.8221991658210754
"Спросили у эксперта, куда выгоднее всего пристроить заначку, чтобы не остаться в минусе, а может, даже и заработать.

 ",0.23371636867523193,0.0,0.6926519870758057
"Маргарита Левчук — оперная певица, которую раньше можно было услышать в Большом театре, а сейчас девушка троллит силовиков и чиновников.

Кто она — смелая белоруска, которая занимается политическим активизмом?

 ",0.0,0.0,0.4225146472454071
"Лукашенко признался, что наблюдает за «беглыми», которые хотят «поднять людей к весне».

«КГБ вам в ближайшее время расскажет, сколько сюда тротила завезли. И даже пластита».

 ",0.22271016240119934,0.0,0.6654205918312073
"Украина опять внесла Беларусь в «зеленый список» по COVID-19.

Можно ехать без ПЦР-теста и карантина.

 ",0.0,0.0,0.8774868249893188
"СК возбудил уголовное делопо факту деятельности лишенного регистрации правозащитного центра «Вясна». ПЦ выступил с заявлением.

«Весна» никогда не являлась организатором каких бы то ни было насильственных действий».

 ",0.0,0.0,0.5312193632125854
"Бывший следователь Андрей Остапович создал инициативу бывших силовиков, которые собирают информацию о тех, кто задерживает, бьет и даже убивает белорусов, не согласных с действиями властей. 

Рассказываем, кто стоит за BYPOL и как это работает.

 ",0.20690405368804932,0.0,0.771853506565094
Министр иностранных дел Литвы прокомментировал просьбу Генпрокуратуры РБ о выдаче Светланы Тихановской. ,0.14034625887870789,0.0,0.812877357006073
"Болельщики НФК «Крумкачы» объяснили, почему не будут бойкотировать матчи команды.

 ",0.22816647589206696,0.0,0.7879412174224854
"В Лиде погиб врач-гинеколог местной больницы. Его тело нашли около одной из многоэтажек.

Родственники предполагают, что поступок Евгения может быть связан с рабочими вопросами.

 ",0.2814156115055084,0.0,0.6224693655967712
"Вы хорошо понимаете логику приговоров?

Попробуйте себя в роли судьи в нашей игре!

 ",0.0,0.0,0.546748161315918
"В МИД Литвы отреагировали на требование о выдаче Тихановской.

«Белорусскому режиму мы можем сказать — скорее ад замерзнет, чем мы начнем рассматривать его требования».

 ",0.1968362182378769,0.0,0.8267217874526978
"Тихановская созвонилась с гендиректором Yara International и призвала к давлению на Беларуськалий.

 ",0.14034625887870789,0.0,0.6370407938957214
"Студенты Белорусского государственного технологического университета развесили листовки на стенах вуза — как напоминание о студентах и преподавательнице, которые почти четыре месяца находятся в СИЗО. ",0.19194278120994568,0.0,0.7248802781105042
"Юноша, совращенный 25-летней учительницей, требует компенсацию в суде.

Больше 700 тысяч долларов за секс. 

 ",0.0,0.0,0.9073222279548645
"Опыт мамы, чей сын отказался ходить в детский сад.

«Нам не удавалось даже одеть ребенка». 

 ",0.33459946513175964,0.0,0.0
"Посмотрите на суперзащищенный Samsung Galaxy XCover 5, который не боится падений, перепадов температур, воды и пыли. 

 ",0.0,0.2568419873714447,0.3998216390609741
"Президент Бразилии призвал «не ныть» на фоне рекордной смертности от коронавируса.

 ",0.3998216390609741,0.0,0.8267217874526978
"Синоптики рассказали о погоде в выходные и 8 марта: мокрый снег, метели, гололедица и ночные морозы.

 ",0.26285186409950256,0.0,0.1259327530860901
"Бизнес-союз резко ответил на предложение МНС побороться с зарплатами в конвертах.

Не с того начали. 

 ",0.06755668669939041,0.0,0.9755869507789612
"Жителя Новополоцка, который осенью отстоял БЧБ-флаг на своем балконе, недавно все же осудили.

 ",0.5544804334640503,0.0,0.320831298828125
"Где искать «длинные» рублевые вклады под 19−20 процентов годовых?

 ",0.04337579756975174,0.0,0.9905974268913269
"15-летнего подростка, пропавшего во вторник в Минском районе, нашли.

 ",0.1732981950044632,0.0,0.6926519870758057
"Лукашенко освободил от должности своего помощника — инспектора по Минской области.

 ",0.0,0.07160120457410812,0.9416641592979431
"Посольство США поддержало церковь «Новая жизнь», которую лишили здания.

 ",0.0,0.4225146472454071,0.348655104637146
"Так у зала суда близкие встречали волонтера штаба Бабарико Антона Беленского.

Поддержать Антона пришел и отец Марии Колесниковой.

Суд вынес Антону приговор — полтора года «химии». До того как приговор вступит в законную силу, Антон будет находиться на свободе. ",0.22816647589206696,0.0,0.6297846436500549
"Читатели пишут, что такой «плюшевый десант» появился на горе Дзержинской — самой высокой точке Беларуси (345 метров над уровнем моря). ",0.0,0.1968362182378769,0.538993239402771
"Минчанки хотели обратиться к депутату, а попали на Окрестина.

«Дочка видела, как нас забирали. Всю ночь плакала». 

 ",0.4688006341457367,0.0,0.0
"Волонтеру штаба Бабарико Антону Беленскому дали 1,5 года «химии».

 ",0.1520422399044037,0.0,0.8840492963790894
"Что происходило в феврале на валютном рынке?

Предприятия закупались валютой, население ушло в безнал. 

 ",0.44553956389427185,0.0,0.3775506913661957
"Генпрокуратура направила в Литву запрос о выдаче Тихановской, а в суд — дело «о тайной вечере».

 ",0.0,0.0,0.9073222279548645
"Сможете назвать всех вратарей «Динамо» в КХЛ? 

Даем шесть минут!

 ",0.0,0.0,0.546748161315918
